,prof_id,quality,difficulty,comment
0,1804289,5.0,4.0,"Grisel is the most passionate prof I've had. Really knows what she's talking about. The class is hard & material is daunting, but you learn a lot if you put in effort. Exams are *hard* but she generously offers EC for students that decide to do it. Incredibly well-respected and overall a nice person. I would rec this class but be ready to work hard"
1,1804289,2.0,5.0,"I cannot stress enough to not take a class with Grisel. Though she is really nice and fun to talk to as a person, her classes are the sole cause of my GPA tanking over the course of four years, especially NEUR 217. I can't pursue my dreams of medical school anymore because of this. Beware"
2,1804289,3.0,2.0,"I liked Professor Grisel and class in general. There is a lot of work and it takes a lot of time out of your day. I would not recommend this class if you don't do the homework because that is what the entire grade is based on. However, she is a very good teacher and you will learn a lot from this class."
3,1804289,1.0,4.0,Grisel is by far the worst professor I've ever had. Her lectures are very disorganized and she goes on tangents a lot. Test questions are so specific; she asks analogy questions and expects you to memorize exact percentages. I worked so hard and spent countless hours studying for her exams and still averaged a 60 and ended with a C. AVOID!!!
4,1804289,4.0,2.0,"I really liked this class. I thought the material was interesting and worth the work. However, there is so much homework so make lots of time to complete the assignments. Most of the homework is reading so if that isn't your thing then I wouldn't recommend this class. The lectures were interesting since most of the work is done outside of class."
5,1804289,1.0,5.0,"Very disorganized lectures that don't cover all of the info she tests on. Does not explain the bio to the level she expects you to know it (even though there are no bio prereqs). Wording on exams are confusing, and exams are entirely memorization based. Want to do well? Go to office hours, do all the extra credit, and double check exam scores."
6,1804289,1.0,5.0,"Prof. Grisel assumes that you know biology. If you don't, you are more or less screwed, as she gives extra points to people who can explain more. Lectures are disorganized, tests are nothing but memorizing her lecture and the book, and she dumps pressure on the &quot;good grade&quot; students to help the &quot;poor grade&quot; students. Avoid if you can."
7,1804289,5.0,4.0,"Dr. Grisel is an incredible professor. I took her Neuroscience 101 course over the summer, and although it was fast-paced, it was extremely rewarding. She cares about her students and is passionate and knowledgeable about her field. I highly recommend taking her class."
8,1804289,5.0,5.0,"There was nothing easy about Dr. Grisel's summer course, but I felt like the challenge wasn't impossible. As long as you complete the reading assignments, take notes, and seek her out during her office hours, then you're sure to pass Dr. Grisel's class. She also allowed me to record her lectures and she posts the lectures online. Great professor!"
9,1804289,5.0,4.0,"In full disclosure, the material can be dense and intimidating, but Prof. Grisel is very knowledgable and passionate about her work. You will learn a ton of great information if you take time to learn the material."
10,1804289,3.0,4.0,"She was a really passionate teacher, however a lot of recorded lectures and textbook reading. The class is a lot of work, but serves as a great foundation for students interested in psych."
11,1804289,4.0,3.0,"You can tell that this professor really knows what she is talking about. Sometimes she goes off-topic, but it is always psychology related. She has a lot of experience! She is very easy to talk to and is accessible outside of class. You have to study hard to do well, but she makes you want to do well. I hope I get to have her again."
