,prof_id,quality,difficulty,comment
0,2451460,5.0,3.0,Dr. Donate was really great. She was extremely animated and loved teaching. She was helpful outside of class if you went to her and cared about her students. Since she was a first year teacher she could get a little disorganized but it was not a problem.
1,2451460,1.0,3.0,"Textbook and homework are very different from class material. Hard to contact outside of class. Doesn't respond to emails unless convenient for her. Feedback is confusing and unhelpful. Nice lady, though."
2,2451460,1.0,3.0,Donate was one of the worst professors I've had here at Davidson. She's very unhelpful throughout the entire course and not very easy to access outside of the classroom if you need help. Very unclear grading criteria and has really unhelpful feedback. Will put things on the test that you never learned in class then say it's our fault for not knowin
3,2451460,4.0,3.0,"Enjoyed my experience with Dr. Donate. Albeit a bit unorganized at times, she cares for her students and understands the realities of attending Davidson. I learned greatly from her feedback, which can seem a bit nit-picky. Be prepared for homework from the manuals and to speak in class."
4,2056199,5.0,4.0,"Dr. Layman's class was engaging, interesting, and I learned a ton. However, only two essays made up 60% of our grade which was frustrating. I would say he is a fair grader, however, you need a 95 to get an A which was not easy when there are only two major assignments. I'm glad I took the class, but just be aware of these things."
5,2056199,5.0,3.0,"Professor Layman is a wonderful teacher who truly lives what he teaches. Though the reading might be a little confusing at points, he always clarifies the reading in class, and is always available to meet outside of the classroom. He encourages thinking for yourself, and there is no &quot;right answer&quot; in this class. I highly recommend Professor Layman."
6,2056199,5.0,3.0,"Professor Layman did a truly wonderful job teaching this past semester. He gave clear feedback on the few major writing projects we had and returned things quickly. His lectures were excellent, clear, and inspired me to learn more about the subject matter. He is truly a top-notch professor that I would recommend to anyone!"
7,2056199,5.0,3.0,"Great professor. This class exposed me to a lot of interesting philosophical ideas, and Dr. Layman did a great job keeping the online format relaxed without sacrificing learning potential"
8,2056199,5.0,2.0,"Dr. Layman is one of my favorite professors. He's very passionate and knowledgable about the subjects he teachings. If you want to get a good grade, I would suggest starting to go to office hours as early in the year as possible. Reading quizzes were super easy if you even glanced at the reading and essays are graded fairly."
9,2056199,5.0,3.0,"Dr. Layman is a wonderful professor and his class is one of my favorites ever. He is very knowledgable, accessible, hardworking, and caring toward his students. If you ever get a chance to take a class with Dr. Layman, I would highly recommend."
10,2056199,5.0,3.0,"Dr. Layman is great! His lectures on the readings are super helpful, but you need to have done the readings. He's really flexible about meeting outside of class and gives really helpful feedback. Would highly recommend!"
11,2056199,5.0,4.0,"Good class. Layman's super cool, funny, and a very reasonable prof. Midterm was graded a bit harshly. Interesting class/ office hours discussion. Very good in office."
12,2056199,4.0,4.0,Be prepared for additions to reading list.
13,2056199,4.0,3.0,"Layman is awesome! He wants you to think for yourself, and puts more emphasis on critically analyzing the work instead of rote memorization. Reviews were actually enjoyable- take home, open note, and based around developing your own arguments. He's readily accessible and eager to discuss anything outside of class. Fair grader. Highly recommend!"
14,2056199,4.0,3.0,"Can be a little convoluted, but passionate and knowledgeable. Loves to field questions and talk during office hours. The textbook language can be tough to understand, but ideas aren't too bad. Kind of a mercuric grader--I've gotten scores from 85-95 on daily quizzes with absolutely no explanation/nothing marked wrong. Tough grader on tests."
15,2056199,4.0,3.0,"Dr. Layman was new to Davidson this year and I took his Ethics class focusing on philosophers like Aristotle and Plato. He's really compassionate, keeps his lectures focused, and always applies the material to situations that students can understand. His work is in political philosophy and he's always available outside of class. You do have to read"
16,643081,5.0,4.0,"Such a great professor, you can tell she really cares about you, her class, and her students!"
17,643081,2.0,2.0,"She's nice, but her teaching gives students the same handle of the language that you got out of your middle school Spanish class. &quot;Advanced Chinese&quot; was taught almost all in English, and we spent the whole semester briefly memorizing bs for quizzes and then forgetting it. Students enter the class far below an advanced level, and leave no better."
18,643081,1.0,3.0,"Worst class I have taken at Davidson. Shen was incredibly disorganized, would show up for class late a lot, and would not have materials ready to teach until 30 minutes into class. She would read off the screen and go off topic a lot during lectures. There was only 100 total class points, which made her unclear grading guidelines a major problem."
