,prof_id,quality,difficulty,comment
0,143362,2.0,3.0,"For a critical thinking class, she does not critically think whatsoever. She only questions students' answers and does not allow for student questioning. very strong about her own beliefs and she chooses which philosophers she agrees with to teach about. I wouldn't participate in her class because she tells every student they're wrong. Not great."
1,143362,5.0,1.0,So good
2,143362,5.0,5.0,"Great Professor. I loved her class, she's hilarious!!! I came out writing much better."
3,143362,4.5,4.0,shes da bomb
4,143362,5.0,4.0,"OMG! she was so much fun, and so funny. her class is hard, but if you just go to the lectures, she explains it all and you'll do well on the test. i wish i had the units/time to take her again! she's sooooo nice."
5,143362,4.0,3.0,awesome prof...class was entertaining too.
6,143362,5.0,2.0,No Comments
7,143362,4.0,4.0,No Comments
8,1372166,4.0,2.0,"Laidback n gets sidetracked easily but it makes the class enjoyable. There IS a textbook but I got an A w/o it bc I did all HWs &amp; we always discuss the reading in class-- so make SURE you show up! Class  viewing diff sources like vids, documentaries, articles, etc based on the week's content which was WAY better than an hr+ long lecture every day!"
9,1372166,3.0,2.0,"Garcias a chill professor, most of the assignments are online and its an easy A to just complete them. Hes nice and doesnt mind answering any questions or concerns. However, his grading expectations are high; for ex: a 95 is an A- when typically its an A or a 92 is a B+. Just make sure you do the assignments and you will be fine :)"
10,1372166,4.0,3.0,"Father Garcias tests are medium level difficulty so be sure to study. Lectures are sometimes interesting. Do not skip class, he takes attendance everyday and it counts!!! He only assigned maybe 2 papers and the exams are taken online. Only thing that sucked was he did not curve exams no matter how bad the results were :/"
11,1372166,5.0,4.0,"Awesome Professor! I had never read a bible before but Father Garcia made it so interesting, by giving more details. Hes hilarious, lectures are more of an open discussion mostly. I am taking another of his classes next semester."
12,1372166,5.0,2.0,"Im shocked to see all these low ratings, he is an amazing teacher and he is hilarious. I took him for Death and Afterlife and he was amazing, he really knows his stuff and will explain more if you don't understand. "
