,prof_id,quality,difficulty,comment
0,2156545,2.0,4.0,"The instructor is, essentially, not involved in this class; it is self-directed learning.  She grades harshly, and unlike almost all grad professors, she will fail you.  She's unable to use IT well (or won't), is defensive, and makes no apparent effort to create or foster any interest in the topic in students.  She sticks out as low quality at NU."
1,2390018,5.0,4.0,"Really sweet prof, effective teacher. Tests and quizzes are sort of an unusual format and take some getting used to, lots of fill in the blank/either-or. Definitely recommend for bio!"
2,2390018,5.0,4.0,"Professor Mcdonough, You're of the kindest, most endearing and memorable professor's at Northwestern. I hope everyone be privy to your passion in teaching and understanding several realms of biology. You truly are a gem, rather an asset to the biology department. You are the best!"
3,1144840,5.0,4.0,"This class was really interesting and Professor Rapp teaches really well. He's so engaged and interested in what he's discussing, and he's genuinely interested in making sure the student understand everything as well. It's also cool that he's a teacher and researcher (and great at both), because he has a very practical understanding of the subject."
4,1144840,4.0,3.0,No Comments
5,2633746,5.0,2.0,"Theo teaches concepts and then teaches you how to teach yourself. The truly important part is his teaching you to, when you run up against a problem, how to troubleshoot and find answers. Lets face it, you aren't always going to have a guru to ask for help. He teaches you how to NOT need him at the end. That all by itself is worth gold."
6,2633746,5.0,2.0,"I very much enjoyed having Theo as an instructor. He was the replacement for our original Instructor, so he really had to pick up a lot of pieces. He is knowledgeable and easy to talk to. I would prefer him to have given more firm opinions but I understand his apprehensiveness. 

I think Theo is the kind of teacher whose students advance."
7,2633746,5.0,4.0,"Theo was very helpful outside of class, he cares very much about his students, and he is very knowledgeable on math and data science. He always came prepared for his lectures and was very engaging with students. I would highly recommend Theo as your professor. "
8,2633746,5.0,1.0,"Amazing professor! He explains even hard topics the most easy and understandable way, always respectful and polite, all the lectures are well-created, very visual and fun, feedbacks are detailed and to the point. "
9,2633746,5.0,4.0,"Theo teaches very fluent and nice . he answers all the questions and covers lecture deck, and shares so many useful information about future careers related to the course."
10,2633746,5.0,2.0,Fantastic charisma and knowledge of the material. Able to convey essential points during a fast paced bootcamp style class.
11,2633746,4.0,1.0,great professor. very interactive. Tries to give answers to all questions.
12,2633746,5.0,5.0,Theo expects your best efforts. You will learn more than you thought you would.  Be willing to do the work and stretch yourself.  You will be pleased you did.  He is encouraging and supportive.
13,2633746,5.0,2.0,He respects his students and I do enjoy his ability to deliver tough content with some humor and always sheds a light at the end of the tunnel. He teaches for understanding. 
