,prof_id,quality,difficulty,comment
0,958471,3.0,4.0,"I can confirm many of the other comments here, at least as I experienced class with Prof Snider. I found her condescending as well. The worst part was her unwillingness to correct grading errors when she was in fact incorrect. I like all the other professors I've had at UVA, but I would not recommend Prof Snider."
1,958471,1.0,3.0,"Her teaching is strictly worse than reading the textbook yourself. She only copies grey boxes and some proofs from the book to the blackboard. She even needs to look at the note for simple algebras (e.g. solving linear equations). When not looking at the textbook, she only says ""I expect you to be able to do this,"" without explaining anything."
2,958471,3.5,4.0,"Snider is a good instructor in that she gives clear, consistent explanations with lots of examples. She is not trying to be your friend, and has a 0 tolerance policy towards lateness, talking, eating, texting, laptop use. She is extremely condescending, there is no other way to put it. Be warned, the final is MUCH more difficult than the tests."
3,958471,2.5,4.0,AVOID AT ALL COSTS!!! DARIA WILL MAKE YOU HATE MATH
4,958471,3.0,4.0,She has a condescending tone. She had generally inconvenient office hours. You are really going to have to try hard in this class.
5,958471,4.0,4.0,She teaches material effectively. Notation is VERY important in probability! Difference between lower case fx(x) and uppercase Fx(x) represent 2 totally different functions! So other criticism that she deducts for notation is unfair. shes good teacher. Shes generous with partial credit when you get problem wrong. She curves grades end of semester
6,958471,2.0,3.0,"When studying for quizzes and tests, she tells the class to &quot;go for the understanding&quot;. But when grading, she'll take points off for semantic errors even when it's clear the logical steps and answer are correct. She is incredibly condescending and impatient when answering students' questions in class. And she teaches almost directly from the book."
7,958471,3.0,5.0,"She comes off as extremely elitist and demanding, but apparently she's actually nice in office hours. She does examples from the book... not really a good indication of what's on the test. She MAY make you feel like an idiot for asking a question; she has responded with comments like &quot;An 'A' student would know the answer to that question.&quot;"
8,958471,5.0,4.0,"Professor snider is a very good teacher. It is a hard class,  but I learned a lot. I sat in the front row and really tried, rather than complaining about the professor (many people enter with bad attitudes). Her class was not bad at all. Office hours are really helpful! I was in there every chance I got. She was not condescending, but very nice."
9,958471,3.5,4.0,"Tough class. None of the professors were exceptional. Most of the comments about Prof. Snider are fairly accurate, though I don't think she intends to be condescending when answering questions, but her tone comes off that way. Definitely very helpful in office hours (go!). Teaches from the book a lot, but explains it well if you ask questions."
10,958471,4.0,4.0,"111 is hard, but not impossible. Just go to class, pay attention, do the homework, and ASK QUESTIONS IF YOU HAVE THEM! It's also important to do a lot of practice problems to figure out the hard/odd ball problems, but Snider does a good job teaching the basics. Definitely better than Pisano or Guadani."
11,958471,3.5,5.0,"What to say&#63; You will find many similarities b/w all ratings of Snider and Giffen (name before married). Uses exact examples out of book, examples out of class way easier than the test questions, fairly condescending (i ignored it). She goes over her examples well so that you can understand it but it is too simple. You will have to teach yourself."
12,958471,2.0,5.0,"The intimidating atmosphere created is one where it is not only hard to focus while working on a quiz/exam, but intimidating to ask questions.  The book contains numerous problems that you can't learn from reading the book. Since she teaches from the book, your only hope is office hours; if they conflict with your schedule, pray to God for a D-."
13,958471,1.5,5.0,"She is THE WORST PROFESSOR here at Uva. If you ask questions, rather than answering, she makes you feel incompetent. In lecture, you can literally finish her sentenses by reading the book. The book is also TERRIBLE (and she teaches directly out of it). She doesn't care whatsoever about her students. See Daria Giffen for more reviews (her old name)"
14,958471,2.0,5.0,"Took this in the summer. Three weeks of pain. She reads the book for you and writes out the chapters on the board. She seems almost annoyed when you ask a question. You begin to feel that there are ONLY stupid questions. There is no simple explanation or real world example of anything. Tip: If it's a proof, it's almost certainly on the test."
15,958471,1.0,5.0,Just copies from the book during class and treats her students as though they are ignorant for having asked a question.
16,909325,3.5,1.0,"At first, classes would be really interesting group discussions about death. As the semester went on, it kind of became more of a lecture with very little participation. You could probably get away with skimming readings. Papers were graded in a super annoying way, but were easy to get an A on."
17,909325,4.5,2.0,He is a fantastic teacher. Gives great insight to the course and is clearly very intelligent. also funny and sweet in an old man kind of way. 3 papers (pretty short/broad topics) and participation are the only parts of your grade. He is awesome and so is the class. Easy 2 credits!!
18,909325,5.0,1.0,"Awesome class, awesome teacher. If you go to class, participate, and write decent papers, there's no reason you shouldn't get an A. Easy grader on essays."
19,909325,5.0,2.0,Rick is fabulous!
20,909325,5.0,1.0,"TAKE THIS USEM!  It was basically 2 hours of discussion on Death and Dying, but the time would fly by.  We got into some of the most interesting, totally off-topic discussions and took and amazing field trip to a funeral home.  Easy A too, just a fre easily graded papers."
21,1507348,1.5,4.0,"Bao Laoshi is a great Chinese teacher, making the classes more enjoyable with cultural notes and clearly explains grammar and sentence structure, which are one of the most difficult parts of Chinese. I have learned so much from her and am confident that 201 will not be as difficult had I had another teacher."
22,1507348,5.0,2.0,"Bao Laoshi is the greatest Chinese teacher ever.  I learned so much in this class.  Although the workload was intense she motivated us to work through it.  I will now go on to the next level with a strong foundation in the language.  Sadly, i believe, she is only here for one year..so take her in the spring if you can!! it might be your last chance"
23,1499158,5.0,3.0,Incredible TA. He is very helpful.
24,868378,4.5,4.0,"""Here is your signed application of course withdrawal"" is his favorite quote."
25,868378,4.5,3.0,No Comment
26,868378,4.5,3.0,No Comments
