,prof_id,quality,difficulty,comment
0,2244618,5.0,1.0,Amazing professor! He is extremely funny during his lectures and his class is pretty easy if you pay attention. I took him at 8 o'clock in the morning and he started my day off with a bunch of jokes. Definitely recommend.
1,2244618,3.0,3.0,I took Mr. Evans and really liked how the class was structured. Very accessible outside of class.
2,2637835,5.0,3.0,Took him for Cost and Managerial Accounting. He's my favorite professor I've had here. Just show up to class and participate and show you're trying/listening. Talk to him outside of class.
3,2637836,5.0,3.0,"A lot of people hate Dr. Hunt. I found him to be my favorite by far. He is brash, but it is typically humurous and if as you're respectful he will make friends with you pretty easy. If you ask for help or clarification he will make sure you're caught up, move due dates if you have other classes, etc. Don't mind the reviews, take Dr Hunt!!"
4,2637836,1.0,3.0,"He is a very weird guy. Was often rude to and bullied students in class. Once another student asked something normal about the GA or office hours, and he was suspiciously secretive and incredibly mean to him. I wouldnt be surprised if he has a mild form of autism spectrum disorder because yes he is a professor but he is super weird and strange."
5,2637836,2.0,4.0,"Do not skip class or else you won't know what's going on. Coding isn't easy, but Dr. Hunt will help you if you ask for it. No tests or textbook, which is nice."
6,2637836,2.0,4.0,Get ready to teach yourself how to code. Dr. Hunt can be really rude.
7,2637836,4.0,3.0,"It's intimidating at first if you know nothing about coding. Be prepared to work to figure it out. Lots of homework, but it can all be done way in advance. He doesn't give tests if you participate in class, but there are a few group projects. Your group members get to rate you on the final project, so if you do no work, you risk failing the class."
8,2637837,3.0,4.0,"Dr. Camors is extremely friendly and knowledgeable, but this class is extremely difficult.  She does move very quickly, so you need to pay attention. Very easy to access outside of class.  If you can keep up with her (which can be hard sometimes), you will probably do fine."
9,2637837,3.0,4.0,No matter who teaches the course is a very difficult class. You have to put in a lot of time outside of class to succeed. Though I will say it feels like she rushes through the lectures and exams are very difficult. 
10,2637837,3.0,5.0,"This is a fairly hard class no matter what, but most of the time Dr. Camors made it harder than it needed to be. She does not have great time management, and she would rush through lectures. She is very accessible outside of class and can help you with almost anything. The test are somewhat hard but she does give you extra credit. Study early"
11,2637837,4.0,4.0,"Intermediate Accounting is a hard material heavy course however, Dr. Camors made sure she was available for her students, and she worked around her schedule and yours. Don't wait until the last second to reach out for help. She will help you just have to reach out. Intermediate is content heavy and difficult, but she will work with you!"
