,prof_id,quality,difficulty,comment
0,1161221,5.0,4.0,I thought her class was a little challenging but an A is possible.
1,1161221,1.0,5.0,Just a terrible person
2,1161221,4.5,3.0,No Comments
3,1161221,4.5,4.0,"I was warned countless times not to take Jackson's News Reporting class because I would recieve unfair treatment and assignments that taught me nothing about reporting.  However, this was completely false.  Not only was Jackson's class the highlight of my semester, but I learned more about reporting in one class than I have in two years as a major."
4,1613839,1.0,5.0,He comes across as very rude and full of himself.
5,1613839,4.5,4.0,"Probably the most organized prof I've had.  With his syllabus, what you see is what you get.  He might come across as slightly cross, but he can be very helpful if you make sure he knows you take his class seriously."
6,774162,5.0,4.0,Love her!
7,774162,1.0,5.0,"She flys through content faster than a concord jet flying to London from new york, you'll never grasp any concept she teaches, minimal examples are provided during lectures. The book you're told to buy is a novel that's 90 pages with 0 content. TA's take 3weeks to grade one homework assignment, you'd be lucky to get feedback the day before an exam."
8,774162,1.0,5.0,Worst class I have ever taken in MY LIFE!!!!!
9,774162,1.0,4.0,I literally cannot figure out what is going on in this class. the lectures make no sense and there is no guidance for exams
10,774162,5.0,1.0,"She is by far my most favorite professor at Ole Miss and her class kept me afloat during freshman year.  The lectures she generates are amazing and interesting! Easy class overall, but there is a good bit of reading, 3-4 essays, and a 10 page research paper.  But she is one of the best! You will learn a lot from her!"
11,774162,4.5,1.0,I've taken almost every class she offers. I love her very much but she doesn't deviate outside her interests in the LAMSAS project and Appalachian English. She has funny kids that she's brought to class before. Lovely lady!
12,774162,5.0,3.0,"Very funny teacher! She's quite the character; makes class interesting! Her tests are challenging, yet easy. (like you think you did bad, but you did well actually). She normally tells everyone what to expect on tests."
13,774162,5.0,3.0,Amazing prof. Intro to Linguistics was one of the best classes I took in college.
14,774162,5.0,3.0,Don't take her if you don't want to be inspired to study linguistics for the rest of your life.
15,774162,5.0,3.0,"An awesome teacher, I enjoyed every class I attended and had fun writing my homework papers."
16,774162,4.5,2.0,"If you need to take Intro to Linguistics, take her section! Thoroughly, completely, and interestingly covers all the bases you'll need for every other linguistics class ever."
17,774162,5.0,3.0,"She's a great teacher!  Extremely helpful, loves the material, and makes class very interesting.  Her tests are pretty long (essay questions), but are completely fair.  As long as you study the notes, you'll be fine."
18,774162,5.0,1.0,She is hilarious :)
19,225314,1.0,4.0,I felt like studying was futile because no matter how much I studied or knew the material that the tests were still impossible
20,225314,1.0,5.0,Where to begin.... The worst grader ever. Very stuck up and thinks he is better than everyone else. Very rude. Has expectations that everyone should have the same math knowledge he does. Does not explain work at all. You get so lost so quickly in this class. 0/10 would not recommend
21,225314,4.0,4.0,Wasn't a huge fan. I had a rough time with this. Very old school
22,225314,5.0,1.0,hes hilarious and a really easy teacher.
23,225314,4.5,3.0,"funny guy, helps you if you have questions, good teacher"
24,225314,5.0,1.0,Dorrough is a class act.
25,225314,5.0,2.0,Good teacher...loved his class. A lot of fun.
26,225314,5.0,1.0,Really great teacher
27,225314,4.0,3.0,He's a nice guy during class but is kinda snobby outside of it.
28,225314,5.0,2.0,No Comments
29,225314,3.5,2.0,No Comments
30,225314,5.0,2.0,He is such a fun teacher!
31,225314,5.0,2.0,"AWESOME teacher.  best i've had in college.  very interested in making sure the students learn, often schedule after class study sessions to help even more.  wish i had him for every math class."
32,2408482,5.0,3.0,BEST PROFESSOR EVER!! TAKE HIM FOR THIS CLASS! YOU WONT REGRET IT
33,2408482,4.0,4.0,Mr. Irwin went above and beyond for his students.
34,1841197,1.0,5.0,Very smart man but cannot transfer information to his students. During lectures he usually gives easy problems while you are stuck with the hard problems for homework. These homework problems are based on a textbook that someone else wrote therefore it does not fit his material at all. This makes &quot;his&quot; homework impossible to do. Avoid him.
35,1841197,1.0,5.0,"No study material for tests. Will not reason with you if you have questions or concerns, he simply claims he is right. Very little partial credit on tests. Only good thing I can say is that the grading scale is loose."
36,1841197,1.0,4.0,"Lectures were boring and rarely useful. Failed to provide concrete formulas and examples, and refused to inform us on material to study for tests. Very intelligent man but frustrating to have as a professor. Would not recommend."
37,1841197,4.0,4.0,"He is a tough teacher - I mean that as a sincerest compliment. If you want a professor whose expectations will push you to get the grade you want, this is your best choice. He has high expectations for completing all assignments & paying attention, but this makes his tests easier than other less engaging and relaxed professors, especially for Cal 3"
38,1841197,4.0,3.0,"He's very understanding and cares about his students. The key to pass  his class is to stay focus, pay attention in class, and do your homework on time."
39,1841197,3.0,5.0,Do not take other hard classes along with his classes.
40,1841197,3.0,5.0,"He a hard teacher, but he is there to help."
41,1841197,1.5,5.0,"Don't ask him any questions, he will look at you like you are crazy. He will help you during his office hours, however. The test are extremely hard but he gives a big curve at the end of the semester."
42,1841197,3.5,4.0,"Longla will make you work for the knowledge you seek, but is also there to help you with the process."
43,1841197,3.0,3.0,"Class on Number Theory/Proofs for math majors. Dr. Longla is a smart man and wanted to be there each lecture. His lectures covered specific topics in detail, while leaving some unclear. This combined with the HORRIBLE textbook(check reviews from sites online for example), made the class difficult at times when it shouldn't be."
44,1841197,1.0,5.0,"The man is hard headed and generally unpleasant to be around during his office hours. Seems to know what he is talking about, he just isn't good at teaching it. Also makes students feel foolish if they ask questions. I barely managed to squeeze out a C- in the class, even after he curved the entire class's overall grade."
45,1841197,3.5,4.0,"Even though i thought this was a hard professor. I can say he knows his stuff and he wants you to know it as well.  The mathematics he taught were along the lines of complicated, but i realized that it was very helpful.  Now when i see a cal II problem, i see how easy they are.  For a really simple problem, now i can almost do in my head."
46,1841197,5.0,1.0,"Great communication with the class. Follows the calendar as planned, but will always go back in case of any doubts. He also explains the best way to solve any kind of problem."
47,1841197,1.0,5.0,"Horrible, horrible, HORRIBLE professor. Goes too fast, hard to understand, and difficult to work with. Won't exaplain some concepts in depth, and he even began yelling at one person in my class for asking about a particular problem during class! If you need to take this class, stay away from Longla."
48,2201646,5.0,2.0,THE BEST IMC TEACHER YOU COULD EVER GET!! He has a blog about corn and if that doesn't sell you on him idk what will. I was genuinely excited to go to class everyday. He understands the material so well and makes it very applicable to everyday life. He puts his slides on blackboard and if u go to class the tests are super straight forward. TAKE HIM
49,2201646,5.0,2.0,Very passionate about IMC and makes class very engaging
50,2201646,4.0,3.0,Very good professor. Really enjoyed his class. Highly recommend taking him.
51,2056242,5.0,3.0,"This class was great! Just ask questions, he thoroughly explained every topic, making sure that all questions were answered before moving on to the next topic."
52,2056242,5.0,4.0,Great professor and grades leniently. You can miss 2 of 4 problems on a quiz and make an 80.  He also reviews the exact type of problems that will be on a test or exam the class before.  He also explains the concepts well. Definitely recommended.
53,2056242,5.0,4.0,Excellent. I wish I had Dr. Derevygin for previous courses.
54,2056242,5.0,4.0,Awesome teacher. Very helpful during office hours.
55,2056242,2.0,5.0,"The lectures are quite intense; some details are never explained clearly no matter how hard you ask. Homework is never graded, so you never get feedback; it makes you fruitlessly wonder what did you do wrong"
56,2056242,4.5,3.0,"He's very into definitions. Although, make sure you understand the problems in class. Usually, the day before a test, he will go over problems that will be on the test. He said how many problems and specifically what kind. Homework is fairly straightforward if you go to class."
57,1677371,5.0,2.0,Pretty cool guy.   Makes German interesting and also is friendly with students.   Will help you on anything and really helps familiarize you on the language (if you pay attention)
58,1339452,5.0,3.0,"She's GREAT-I really like her. The class isn't extremely easy, you have to work for it, though, you learn a whole lot and it's a 6 credit class."
59,1339452,5.0,3.0,No Comments
60,2338877,5.0,1.0,Absolutely awesome instructor! Be ready for pop culture references! I've always hated music class but he made it so much better. He wants the best for all of his students and gives great opportunities for extra credit!
61,1339451,3.0,4.0,"He is a great person! He now teaches at Mississippi College, and I had him last semester! He loves history and has so much enthusiasm when he talks about it! However, he talks about events out of order, he only gives two test and a lot of material, you dont know what will really be on the test, and he talks extremely fast!"
62,1339451,2.5,4.0,"talks super fast and out of order, hard to take notes. doesnt make sense of the events if you dont already have an understanding of the topics"
63,1339451,5.0,2.0,History is my LEAST favorite subject but Dr. Pickett made it enjoyable. I tell everyone to take him if they want to know what history teacher to take. His lecture is NOT a typical monotonous lecture that is impossible to stay focused in. He explains it like a story with enthusiasm. You can tell he really enjoys teaching history.
64,1339451,5.0,2.0,"Great teacher! Though history can be boring, he makes it fun. This is because he always seems so excited about the class. Brilliant too. On the first day of class we all told him where we were from and he told us a historical fact about the place right off the top of his head. Take his class, you won't be disappointed."
65,1339451,4.5,3.0,"Awesome teacher, laid back and willing to help with anything!"
66,2129982,4.0,2.0,"She is very kind and considerate of her students, even those who get stage fright. If you show up the day you give your speech you are guaranteed a B. She also did online, un-timed, open-book quizs for my class. She is an easy A, and the best teacher you can get at the school for a speech class if you are anxious about public speaking."
67,2129982,4.5,2.0,She is very helpful and kind. I had health issues and she worked with me to get my work done. She is willing to help you just have to ask. It is not a hard class you just have to do your work.
68,2687044,5.0,3.0,"Professor Johnson wants everyone to succeed. She lectures over the material, works out examples that will be on exams, and even hands out guided notes if you go to her lectures. Don't blow this class off because you do need to work out problems in order to do well on the exams (same problems she works in class)."
