,GAME_ID,TEAM_ID,SEASON,NICKNAME,CITY,FGM,FGA,FG3M,FG3A,FTM,FTA,FOULS,isWinner
1207,11000003,1610612747.0,2010,Lakers,Los Angeles,35.0,79.0,4.0,14.0,18.0,33.0,22.0,0
1208,11000003,1610612750.0,2010,Timberwolves,Minnesota,40.0,74.0,8.0,12.0,23.0,32.0,21.0,0
1209,11000004,1610612739.0,2010,Cavaliers,Cleveland,28.0,77.0,3.0,12.0,28.0,35.0,20.0,0
1210,11000004,1610612766.0,2010,Hornets,Charlotte,26.0,82.0,2.0,10.0,18.0,29.0,17.0,0
1211,11000005,1610612745.0,2010,Rockets,Houston,30.0,76.0,4.0,15.0,24.0,30.0,19.0,1
1212,11000005,1610612753.0,2010,Magic,Orlando,38.0,79.0,8.0,28.0,13.0,15.0,18.0,1
1213,11000006,1610612741.0,2010,Bulls,Chicago,31.0,73.0,3.0,12.0,18.0,29.0,15.0,0
1214,11000006,1610612749.0,2010,Bucks,Milwaukee,33.0,65.0,3.0,12.0,23.0,27.0,24.0,0
1215,11000007,1610612751.0,2010,Nets,Brooklyn,36.0,71.0,8.0,12.0,23.0,35.0,17.0,1
1216,11000007,1610612755.0,2010,76ers,Philadelphia,27.0,72.0,2.0,18.0,40.0,49.0,9.0,1
1217,11000008,1610612746.0,2010,Clippers,Los Angeles,32.0,73.0,5.0,20.0,17.0,23.0,26.0,0
1218,11000008,1610612757.0,2010,Trail Blazers,Portland,37.0,77.0,16.0,27.0,25.0,29.0,17.0,0
1219,11000009,1610612756.0,2010,Suns,Phoenix,36.0,74.0,2.0,16.0,21.0,30.0,23.0,0
1220,11000009,1610612758.0,2010,Kings,Sacramento,45.0,87.0,6.0,17.0,13.0,18.0,15.0,0
1221,11000010,1610612742.0,2010,Mavericks,Dallas,35.0,80.0,5.0,18.0,19.0,26.0,20.0,1
1222,11000010,1610612764.0,2010,Wizards,Washington,36.0,77.0,5.0,18.0,20.0,29.0,16.0,1
1223,11000011,1610612748.0,2010,Heat,Miami,42.0,79.0,6.0,18.0,15.0,24.0,12.0,0
1224,11000011,1610612765.0,2010,Pistons,Detroit,26.0,60.0,5.0,12.0,32.0,46.0,17.0,0
1225,11000012,1610612760.0,2010,Thunder,Oklahoma City,32.0,81.0,8.0,19.0,25.0,35.0,17.0,1
1226,11000012,1610612766.0,2010,Hornets,Charlotte,32.0,67.0,5.0,10.0,24.0,32.0,27.0,1
1227,11000013,1610612754.0,2010,Pacers,Indiana,29.0,77.0,9.0,29.0,18.0,29.0,20.0,0
1228,11000013,1610612763.0,2010,Grizzlies,Memphis,33.0,71.0,5.0,17.0,16.0,29.0,27.0,0
1229,11000014,1610612756.0,2010,Suns,Phoenix,28.0,74.0,3.0,18.0,19.0,33.0,30.0,1
1230,11000014,1610612761.0,2010,Raptors,Toronto,41.0,81.0,6.0,10.0,41.0,55.0,17.0,1
1231,11000015,1610612738.0,2010,Celtics,Boston,27.0,61.0,2.0,9.0,37.0,43.0,18.0,0
1232,11000015,1610612755.0,2010,76ers,Philadelphia,18.0,67.0,2.0,16.0,27.0,32.0,21.0,0
1233,11000016,1610612750.0,2010,Timberwolves,Minnesota,32.0,80.0,7.0,14.0,35.0,46.0,30.0,0
1234,11000016,1610612752.0,2010,Knicks,New York,36.0,90.0,9.0,31.0,19.0,25.0,19.0,0
1235,11000017,1610612737.0,2010,Hawks,Atlanta,40.0,77.0,4.0,18.0,27.0,44.0,24.0,1
1236,11000017,1610612763.0,2010,Grizzlies,Memphis,35.0,78.0,5.0,9.0,40.0,44.0,21.0,1
1237,11000018,1610612739.0,2010,Cavaliers,Cleveland,30.0,85.0,3.0,12.0,20.0,25.0,23.0,1
1238,11000018,1610612764.0,2010,Wizards,Washington,38.0,94.0,4.0,10.0,17.0,20.0,13.0,1
1239,11000019,1610612738.0,2010,Celtics,Boston,34.0,80.0,8.0,15.0,20.0,30.0,17.0,1
1240,11000019,1610612751.0,2010,Nets,Brooklyn,28.0,70.0,5.0,18.0,31.0,42.0,17.0,1
1241,11000020,1610612746.0,2010,Clippers,Los Angeles,41.0,76.0,5.0,14.0,33.0,47.0,13.0,1
1242,11000020,1610612758.0,2010,Kings,Sacramento,31.0,75.0,0.0,7.0,26.0,43.0,14.0,1
1243,11000021,1610612757.0,2010,Trail Blazers,Portland,34.0,76.0,9.0,19.0,19.0,28.0,16.0,0
1244,11000021,1610612762.0,2010,Jazz,Utah,32.0,66.0,7.0,15.0,29.0,46.0,18.0,0
1245,11000022,1610612741.0,2010,Bulls,Chicago,32.0,75.0,6.0,21.0,13.0,18.0,11.0,0
1246,11000022,1610612742.0,2010,Mavericks,Dallas,29.0,75.0,3.0,10.0,27.0,31.0,17.0,0
1247,11000023,1610612745.0,2010,Rockets,Houston,30.0,74.0,4.0,13.0,26.0,36.0,18.0,0
1248,11000023,1610612759.0,2010,Spurs,San Antonio,34.0,92.0,4.0,16.0,15.0,20.0,14.0,0
1249,11000025,1610612741.0,2010,Bulls,Chicago,39.0,74.0,8.0,14.0,21.0,36.0,20.0,0
1250,11000025,1610612764.0,2010,Wizards,Washington,36.0,78.0,11.0,25.0,13.0,24.0,17.0,0
1251,11000026,1610612743.0,2010,Nuggets,Denver,37.0,74.0,11.0,23.0,24.0,39.0,16.0,0
1252,11000026,1610612757.0,2010,Trail Blazers,Portland,38.0,86.0,10.0,25.0,13.0,21.0,15.0,0
1253,11000027,1610612753.0,2010,Magic,Orlando,27.0,77.0,11.0,33.0,28.0,43.0,18.0,1
1254,11000027,1610612754.0,2010,Pacers,Indiana,29.0,80.0,4.0,17.0,24.0,27.0,15.0,1
1255,11000028,1610612749.0,2010,Bucks,Milwaukee,37.0,85.0,8.0,17.0,28.0,32.0,16.0,0
1256,11000028,1610612765.0,2010,Pistons,Detroit,43.0,84.0,9.0,20.0,20.0,23.0,22.0,0
1257,11000029,1610612744.0,2010,Warriors,Golden State,44.0,79.0,14.0,21.0,25.0,28.0,18.0,0
1258,11000029,1610612746.0,2010,Clippers,Los Angeles,31.0,82.0,8.0,25.0,17.0,31.0,23.0,0
1259,11000030,1610612748.0,2010,Heat,Miami,35.0,81.0,5.0,23.0,28.0,34.0,17.0,0
1260,11000030,1610612760.0,2010,Thunder,Oklahoma City,26.0,73.0,8.0,20.0,36.0,37.0,12.0,0
1261,11000031,1610612751.0,2010,Nets,Brooklyn,30.0,71.0,8.0,22.0,22.0,33.0,25.0,0
1262,11000031,1610612755.0,2010,76ers,Philadelphia,29.0,82.0,2.0,12.0,29.0,37.0,15.0,0
1263,11000032,1610612745.0,2010,Rockets,Houston,50.0,88.0,5.0,15.0,21.0,26.0,7.0,0
1264,11000032,1610612754.0,2010,Pacers,Indiana,35.0,84.0,6.0,19.0,16.0,19.0,20.0,0
1265,11000033,1610612742.0,2010,Mavericks,Dallas,30.0,76.0,6.0,17.0,24.0,36.0,20.0,0
1266,11000033,1610612756.0,2010,Suns,Phoenix,32.0,81.0,7.0,26.0,27.0,38.0,12.0,0
1267,11000034,1610612749.0,2010,Bucks,Milwaukee,28.0,78.0,7.0,18.0,23.0,29.0,15.0,0
1268,11000034,1610612766.0,2010,Hornets,Charlotte,28.0,74.0,1.0,6.0,21.0,31.0,12.0,0
1269,11000035,1610612740.0,2010,Pelicans,New Orleans,30.0,82.0,11.0,19.0,19.0,23.0,17.0,1
1270,11000035,1610612763.0,2010,Grizzlies,Memphis,34.0,78.0,3.0,13.0,26.0,31.0,18.0,1
1271,11000036,1610612748.0,2010,Heat,Miami,27.0,72.0,4.0,11.0,15.0,22.0,19.0,0
1272,11000036,1610612759.0,2010,Spurs,San Antonio,32.0,73.0,4.0,14.0,22.0,30.0,16.0,0
1273,11000037,1610612738.0,2010,Celtics,Boston,35.0,66.0,4.0,10.0,17.0,24.0,22.0,0
1274,11000037,1610612761.0,2010,Raptors,Toronto,33.0,83.0,5.0,11.0,16.0,27.0,16.0,0
1275,11000038,1610612739.0,2010,Cavaliers,Cleveland,36.0,75.0,4.0,18.0,23.0,30.0,13.0,1
